OID_,ชุมชน,รหัสเขต,รหัสไปรษณีย์,รหัสประเภทชุมชน,ละติจูด,ลองจิจูด,เขต,แขวง,ประเภทชุมชน,ประชากร,โรงพยาบาลใกล้ที่สุด,ระยะทาง(เมตร)
773,ชุมชนธนินธร 2,1036,103605,5,13.94013497,100.6095055,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,199,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1664.187234
1561,ชุมชนหรรษา 79,1023,102302,5,13.69943211,100.3503966,เขตหนองแขม,แขวงหนองแขม,ชุมชนเมือง,1195,โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม,779.3444885
1718,ชุมชนร่วมใจรักคลองเปรมประชากร,1036,103602,1,13.94455663,100.6065191,เขตดอนเมือง,แขวงสีกัน,ชุมชนแออัด,492,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1959.19941
236,ชุมชนวัดดงมูลเหล็ก,1020,102005,1,13.75224867,100.4756631,เขตบางกอกน้อย,แขวงบ้านช่างหล่อ,ชุมชนแออัด,18000,โรงพยาบาลธนบุรี,464.5535043
239,ชุมชนเหนือวัดสีหไกรสร,1020,102005,1,13.75520748,100.4797044,เขตบางกอกน้อย,แขวงบ้านช่างหล่อ,ชุมชนแออัด,512,โรงพยาบาลธนบุรี,274.2579506
504,ชุมชนหมู่บ้านรามอินทรา 67,1005,100502,5,13.84803612,100.6518203,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,886,โรงพยาบาลเด็กสินแพทย์,2248.652398
472,ชุมชนสุขสันต์พัฒนา,1005,100502,5,13.87391367,100.5933104,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,1592,สถาบันพัฒนาสุขภาวะเขตเมือง,416.4891123
492,ชุมชนหมู่บ้านอนันต์สุขสันต์,1005,100508,5,13.87410228,100.6141652,เขตบางเขน,แขวงท่าแร้ง,ชุมชนเมือง,734,โรงพยาบาลเอส วาย เอช,1139.8555
493,ชุมชนหมู่บ้านไปรษณีย์นิเวศน์,1005,100502,5,13.87741983,100.6154927,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,639,โรงพยาบาลเอส วาย เอช,995.7912368
1971,ชุมชนธาราทิพย์พัฒนา,1042,104203,5,13.9042603,100.6298357,เขตสายไหม,แขวงคลองถนน,ชุมชนเมือง,591,โรงพยาบาลภูมิพลอดุลยเดช,1356.866412
494,ชุมชนหมู่บ้านเฉลิมสุขนิเวศน์,1005,100502,5,13.86770858,100.6119099,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,1005,โรงพยาบาลเอส วาย เอช,1672.411638
476,ชุมชนอุทิศอนุสรณ์,1005,100502,5,13.87149751,100.5965043,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,374,สถาบันพัฒนาสุขภาวะเขตเมือง,73.08420568
469,ชุมชนสามัคคีร่วมใจ,1005,100502,5,13.86004597,100.5866473,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,550,สถาบันพัฒนาสุขภาวะเขตเมือง,1722.974665
497,ชุมชนหมู่บ้านปั้นทอง 3,1005,100502,5,13.87038695,100.6059796,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,1715,สถาบันพัฒนาสุขภาวะเขตเมือง,1021.107886
498,ชุมชนหมู่บ้านสดใส,1005,100502,5,13.88363729,100.5950515,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,782,สถาบันพัฒนาสุขภาวะเขตเมือง,1285.71427
499,ชุมชนหมู่บ้านสินทรัพย์นคร,1005,100502,5,13.89007069,100.6091869,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,2184,โรงพยาบาลซีจีเอชโรงพยาบาลทั่วไปขนาดใหญ่,277.19978
478,ชุมชนหมู่บ้านฝนทองนิเวศน์,1005,100502,5,13.88149276,100.6050661,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,1515,โรงพยาบาลเอส วาย เอช,299.8995821
502,ชุมชนทิมเรืองเวช,1005,100502,5,13.87916908,100.6079182,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,927,โรงพยาบาลเอส วาย เอช,342.7819447
2002,ชุมชนหมู่บ้านทับแก้วสามัคคี,1036,103604,5,13.92493907,100.5918549,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง,564,โรงพยาบาลทหารอากาศ (สีกัน),2124.03353
2003,ชุมชนหมู่บ้านจิตภาวรรณ 2-3,1042,104203,5,13.90183434,100.6167815,เขตสายไหม,แขวงคลองถนน,ชุมชนเมือง,1268,โรงพยาบาลภูมิพลอดุลยเดช,816.260305
1733,ชุมชนไทยเทยิ่น,1036,103605,5,13.9377888,100.6184566,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,164,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,889.8989546
774,ชุมชนศุภลักษณ์,1036,103605,5,13.94608841,100.6168024,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,504,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,902.2876773
1562,ชุมชนเทพประทาน,1036,103604,5,13.91691042,100.5684624,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง,4400,โรงพยาบาลมงกุฎวัฒนะ,2637.926187
1731,ชุมชนปิ่นทอง,1036,103604,5,13.92164875,100.5807649,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง,414,โรงพยาบาลทหารอากาศ (สีกัน),2166.888077
606,ชุมชนเพชรเกษม 44,1022,102201,5,13.71874549,100.4501743,เขตภาษีเจริญ,แขวงบางหว้า,ชุมชนเมือง,401,โรงพยาบาลพญาไท 3,1572.908216
609,ชุมชนวิจิตรสัมพันธ์,1022,102207,5,13.73951194,100.460483,เขตภาษีเจริญ,แขวงบางแวก,ชุมชนเมือง,485,โรงพยาบาลบางไผ่,1661.493092
610,ชุมชนวิจิตรสามัคคี,1022,102207,5,13.73983264,100.4612802,เขตภาษีเจริญ,แขวงบางแวก,ชุมชนเมือง,283,โรงพยาบาลบางไผ่,1672.46345
777,ชุมชนเจษฎา 1,1036,103605,5,13.9324607,100.6231668,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,510,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1192.991851
808,ชุมชนบัณฑิตโฮม,1036,103605,5,13.93753464,100.6131707,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,664,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1381.980233
838,ชุมชนรัชดาประชาชื่น,1030,103001,5,13.83069652,100.5484298,เขตจตุจักร,แขวงลาดยาว,ชุมชนเมือง,154,โรงพยาบาลเกษมราษฎร์ประชาชื่น,1053.1068
840,ชุมชนสวนผัก,1030,103005,5,13.82716165,100.5485174,เขตจตุจักร,แขวงจตุจักร,ชุมชนเมือง,1202,โรงพยาบาลเกษมราษฎร์ประชาชื่น,1178.483088
841,ชุมชนนครหลวง,1030,103003,5,13.83048353,100.5803972,เขตจตุจักร,แขวงจันทรเกษม,ชุมชนเมือง,918,โรงพยาบาลเดอะซีเนียร์รัชโยธิน,391.3829164
842,ชุมชนหมู่บ้านอยู่เจริญพัฒนา,1030,103004,5,13.80447149,100.5687436,เขตจตุจักร,แขวงจอมพล,ชุมชนเมือง,612,โรงพยาบาลโกลเด้นเยียส์,1866.216571
848,ชุมชนหมู่บ้านรุ่งเจริญ,1030,103003,5,13.81244497,100.5798686,เขตจตุจักร,แขวงจันทรเกษม,ชุมชนเมือง,1140,สถานพยาบาลผู้ป่วยเรื้อรังเดอะซีเนียร์ 3,1727.4169
1967,ชุมชนหมู่บ้านเจริญสุข,1036,103602,5,13.91687908,100.5691192,เขตดอนเมือง,แขวงสีกัน,ชุมชนเมือง,499,โรงพยาบาลมงกุฎวัฒนะ,2655.943075
329,ชุมชนสวนสมเด็จย่า,1018,101801,5,13.73700923,100.4979728,เขตคลองสาน,แขวงสมเด็จเจ้าพระยา,ชุมชนเมือง,6750,สถานพยาบาลนันอา,685.107761
330,ชุมชนซอยท่าดินแดง 14-16,1018,101802,5,13.73549452,100.5047595,เขตคลองสาน,แขวงคลองสาน,ชุมชนเมือง,2147,สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา,516.9689796
133,ชุมชนซอยวัดมหาพฤฒาราม (ซอยแก้วฟ้า),1004,100401,5,13.73401056,100.5168169,เขตบางรัก,แขวงมหาพฤฒาราม,ชุมชนเมือง,225,โรงพยาบาลสมิติเวชไชน่าทาวน์,620.9899064
134,ชุมชนหลังวัดแก้วแจ้มฟ้า (สี่พระยา),1004,100401,5,13.73196416,100.5188565,เขตบางรัก,แขวงมหาพฤฒาราม,ชุมชนเมือง,2845,โรงพยาบาลไอเอ็มเอช สีลม,733.8175043
338,ชุมชนหลังโรงภาพยนตร์ไทยราม่า,1018,101804,5,13.7243103,100.4932505,เขตคลองสาน,แขวงคลองต้นไทร,ชุมชนเมือง,1284,สถานพยาบาลนันอา,813.1074597
772,ชุมชนอยู่เจริญ-วิภาวดี,1036,103605,5,13.94405246,100.6130494,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,2165,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1251.334336
771,ชุมชนวังทอง,1036,103605,5,13.95303569,100.6146203,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,1243,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1535.163862
272,ชุมชนวัดจำปา,1019,101905,2,13.77380646,100.4346151,เขตตลิ่งชัน,แขวงบางระมาด,ชุมชนชานเมือง,670,โรงพยาบาลศรีสวรรค์ ราชพฤกษ์,2164.789318
273,ชุมชนหมู่บ้านพัฒนา หมู่ 4 บางระมาด,1019,101905,2,13.77111878,100.4273387,เขตตลิ่งชัน,แขวงบางระมาด,ชุมชนชานเมือง,560,โรงพยาบาลศรีสวรรค์ ราชพฤกษ์,2922.576579
275,"ชุมชนหมู่บ้านพัฒนาวัดกาญจนสิงหาสน์ 18,19",1019,101905,2,13.75804818,100.4473551,เขตตลิ่งชัน,แขวงบางระมาด,ชุมชนชานเมือง,1900,โรงพยาบาลเฉพาะทางอาชีวเวชศาสตร์อินเตอร์เมด,2089.51386
825,ชุมชนบูรพา 18,1036,103604,5,13.91866195,100.5687796,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง,1152,โรงพยาบาลมงกุฎวัฒนะ,2833.46865
824,ชุมชนบูรพา 16,1036,103604,5,13.92134039,100.5711389,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง,1215,โรงพยาบาลทหารอากาศ (สีกัน),2465.592695
875,ชุมชนหมู่บ้านร่มไทรวิลล่า,1027,102701,5,13.82314038,100.6360775,เขตบึงกุ่ม,แขวงคลองกุ่ม,ชุมชนเมือง,953,โรงพยาบาลนวเวช,1087.265605
877,ชุมชนหมู่บ้านสราญรมย์,1027,102701,5,13.81499568,100.6442988,เขตบึงกุ่ม,แขวงคลองกุ่ม,ชุมชนเมือง,1430,โรงพยาบาลนวเวช,251.7200352
246,ชุมชนซอยสุดสาคร,1020,102005,1,13.75647882,100.47421,เขตบางกอกน้อย,แขวงบ้านช่างหล่อ,ชุมชนแออัด,1288,โรงพยาบาลวิชัยเวช แยกไฟฉาย,494.4667075
276,ชุมชนหมู่ 6 บางระมาด,1019,101905,2,13.77505368,100.4315522,เขตตลิ่งชัน,แขวงบางระมาด,ชุมชนชานเมือง,412,โรงพยาบาลศรีสวรรค์ ราชพฤกษ์,2292.539776
277,"ชุมชนหมู่ 1,3 บางพรม",1019,101904,2,13.74462411,100.4566123,เขตตลิ่งชัน,แขวงบางพรม,ชุมชนชานเมือง,2100,โรงพยาบาลเฉพาะทางอาชีวเวชศาสตร์อินเตอร์เมด,1415.847701
279,ชุมชนศาลเจ้าพ่อจุ้ย,1019,101902,2,13.78204521,100.4555399,เขตตลิ่งชัน,แขวงตลิ่งชัน,ชุมชนชานเมือง,450,โรงพยาบาลศรีสวรรค์ ราชพฤกษ์,1181.542062
280,ชุมชนศาลาหลังบ้าน,1019,101904,2,13.75707365,100.4501326,เขตตลิ่งชัน,แขวงบางพรม,ชุมชนชานเมือง,450,โรงพยาบาลเฉพาะทางอาชีวเวชศาสตร์อินเตอร์เมด,2048.158727
278,ชุมชนวัดเกาะ,1019,101907,2,13.74287379,100.4529766,เขตตลิ่งชัน,แขวงบางเชือกหนัง,ชุมชนชานเมือง,526,โรงพยาบาลเฉพาะทางอาชีวเวชศาสตร์อินเตอร์เมด,977.8681794
283,ชุมชนวัดปากน้ำฝั่งเหนือ,1019,101901,2,13.74665189,100.4607029,เขตตลิ่งชัน,แขวงคลองชักพระ,ชุมชนชานเมือง,436,โรงพยาบาลวิชัยเวช แยกไฟฉาย,1410.872378
284,ชุมชนวัดเพลงกลางสวน,1019,101904,2,13.75291699,100.440619,เขตตลิ่งชัน,แขวงบางพรม,ชุมชนชานเมือง,309,โรงพยาบาลเฉพาะทางอาชีวเวชศาสตร์อินเตอร์เมด,1564.956833
285,ชุมชนวัดสมรโกฏิ-บางระจัน,1019,101903,2,13.77381023,100.4447885,เขตตลิ่งชัน,แขวงฉิมพลี,ชุมชนชานเมือง,587,โรงพยาบาลศรีสวรรค์ ราชพฤกษ์,1700.397007
686,ชุมชนคลองรางยายเพียร,1021,102105,2,13.59376097,100.4333675,เขตบางขุนเทียน,แขวงท่าข้าม,ชุมชนชานเมือง,203,โรงพยาบาลผู้สูงอายุบางขุนเทียน,2512.627179
130,ชุมชนตลาดสดเพชรพลอย,1004,100405,5,13.72811627,100.5198581,เขตบางรัก,แขวงสี่พระยา,ชุมชนเมือง,1561,โรงพยาบาลไอเอ็มเอช สีลม,311.6636629
68,ชุมชนหมู่บ้านสุขใจ,1009,100905,5,13.68743824,100.6280538,เขตพระโขนง,แขวงบางจาก,ชุมชนเมือง,321,โรงพยาบาลไทยนครินทร์,2401.804689
