OID_,ชุมชน,รหัสเขต,รหัสไปรษณีย์,รหัสประเภทชุมชน,ละติจูด,ลองจิจูด,เขต,แขวง,ประเภทชุมชน,โรงพยาบาลใกล้ที่สุด,ระยะทาง(เมตร)
773,ชุมชนธนินธร 2,1036,103605,5,13.94013497,100.6095055,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1664.1872344126846
1561,ชุมชนหรรษา 79,1023,102302,5,13.69943211,100.3503966,เขตหนองแขม,แขวงหนองแขม,ชุมชนเมือง,โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม,779.3444884894078
1718,ชุมชนร่วมใจรักคลองเปรมประชากร,1036,103602,1,13.94455663,100.6065191,เขตดอนเมือง,แขวงสีกัน,ชุมชนแออัด,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1959.1994095312168
236,ชุมชนวัดดงมูลเหล็ก,1020,102005,1,13.75224867,100.4756631,เขตบางกอกน้อย,แขวงบ้านช่างหล่อ,ชุมชนแออัด,โรงพยาบาลธนบุรี,464.5535043349045
239,ชุมชนเหนือวัดสีหไกรสร,1020,102005,1,13.75520748,100.4797044,เขตบางกอกน้อย,แขวงบ้านช่างหล่อ,ชุมชนแออัด,โรงพยาบาลธนบุรี,274.2579506447231
504,ชุมชนหมู่บ้านรามอินทรา 67,1005,100502,5,13.84803612,100.6518203,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,โรงพยาบาลเด็กสินแพทย์,2248.6523980763486
472,ชุมชนสุขสันต์พัฒนา,1005,100502,5,13.87391367,100.5933104,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,สถาบันพัฒนาสุขภาวะเขตเมือง,416.48911231816
492,ชุมชนหมู่บ้านอนันต์สุขสันต์,1005,100508,5,13.87410228,100.6141652,เขตบางเขน,แขวงท่าแร้ง,ชุมชนเมือง,โรงพยาบาลเอส วาย เอช,1139.8554996801222
493,ชุมชนหมู่บ้านไปรษณีย์นิเวศน์,1005,100502,5,13.87741983,100.6154927,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,โรงพยาบาลเอส วาย เอช,995.791236793886
1971,ชุมชนธาราทิพย์พัฒนา,1042,104203,5,13.9042603,100.6298357,เขตสายไหม,แขวงคลองถนน,ชุมชนเมือง,โรงพยาบาลภูมิพลอดุลยเดช,1356.8664120025812
494,ชุมชนหมู่บ้านเฉลิมสุขนิเวศน์,1005,100502,5,13.86770858,100.6119099,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,โรงพยาบาลเอส วาย เอช,1672.4116383526523
476,ชุมชนอุทิศอนุสรณ์,1005,100502,5,13.87149751,100.5965043,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,สถาบันพัฒนาสุขภาวะเขตเมือง,73.08420568371383
469,ชุมชนสามัคคีร่วมใจ,1005,100502,5,13.86004597,100.5866473,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,สถาบันพัฒนาสุขภาวะเขตเมือง,1722.9746649423614
497,ชุมชนหมู่บ้านปั้นทอง 3,1005,100502,5,13.87038695,100.6059796,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,สถาบันพัฒนาสุขภาวะเขตเมือง,1021.1078860776898
498,ชุมชนหมู่บ้านสดใส,1005,100502,5,13.88363729,100.5950515,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,สถาบันพัฒนาสุขภาวะเขตเมือง,1285.7142695177913
499,ชุมชนหมู่บ้านสินทรัพย์นคร,1005,100502,5,13.89007069,100.6091869,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,โรงพยาบาลซีจีเอชโรงพยาบาลทั่วไปขนาดใหญ่,277.1997800087986
478,ชุมชนหมู่บ้านฝนทองนิเวศน์,1005,100502,5,13.88149276,100.6050661,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,โรงพยาบาลเอส วาย เอช,299.8995821134044
502,ชุมชนทิมเรืองเวช,1005,100502,5,13.87916908,100.6079182,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง,โรงพยาบาลเอส วาย เอช,342.78194468957565
2002,ชุมชนหมู่บ้านทับแก้วสามัคคี,1036,103604,5,13.92493907,100.5918549,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง,โรงพยาบาลทหารอากาศ (สีกัน),2124.033529592056
2003,ชุมชนหมู่บ้านจิตภาวรรณ 2-3,1042,104203,5,13.90183434,100.6167815,เขตสายไหม,แขวงคลองถนน,ชุมชนเมือง,โรงพยาบาลภูมิพลอดุลยเดช,816.2603049646427
1733,ชุมชนไทยเทยิ่น,1036,103605,5,13.9377888,100.6184566,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,889.8989546427905
774,ชุมชนศุภลักษณ์,1036,103605,5,13.94608841,100.6168024,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,902.2876773010205
1562,ชุมชนเทพประทาน,1036,103604,5,13.91691042,100.5684624,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง,โรงพยาบาลมงกุฎวัฒนะ,2637.9261870448036
1731,ชุมชนปิ่นทอง,1036,103604,5,13.92164875,100.5807649,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง,โรงพยาบาลทหารอากาศ (สีกัน),2166.8880770320297
606,ชุมชนเพชรเกษม 44,1022,102201,5,13.71874549,100.4501743,เขตภาษีเจริญ,แขวงบางหว้า,ชุมชนเมือง,โรงพยาบาลพญาไท 3,1572.9082159294344
609,ชุมชนวิจิตรสัมพันธ์,1022,102207,5,13.73951194,100.460483,เขตภาษีเจริญ,แขวงบางแวก,ชุมชนเมือง,โรงพยาบาลบางไผ่,1661.4930918059736
610,ชุมชนวิจิตรสามัคคี,1022,102207,5,13.73983264,100.4612802,เขตภาษีเจริญ,แขวงบางแวก,ชุมชนเมือง,โรงพยาบาลบางไผ่,1672.4634499892265
777,ชุมชนเจษฎา 1,1036,103605,5,13.9324607,100.6231668,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1192.9918514987778
808,ชุมชนบัณฑิตโฮม,1036,103605,5,13.93753464,100.6131707,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1381.9802329311406
838,ชุมชนรัชดาประชาชื่น,1030,103001,5,13.83069652,100.5484298,เขตจตุจักร,แขวงลาดยาว,ชุมชนเมือง,โรงพยาบาลเกษมราษฎร์ประชาชื่น,1053.1067998577964
840,ชุมชนสวนผัก,1030,103005,5,13.82716165,100.5485174,เขตจตุจักร,แขวงจตุจักร,ชุมชนเมือง,โรงพยาบาลเกษมราษฎร์ประชาชื่น,1178.483088422368
841,ชุมชนนครหลวง,1030,103003,5,13.83048353,100.5803972,เขตจตุจักร,แขวงจันทรเกษม,ชุมชนเมือง,โรงพยาบาลเดอะซีเนียร์รัชโยธิน,391.3829163761729
842,ชุมชนหมู่บ้านอยู่เจริญพัฒนา,1030,103004,5,13.80447149,100.5687436,เขตจตุจักร,แขวงจอมพล,ชุมชนเมือง,โรงพยาบาลโกลเด้นเยียส์,1866.2165714851637
848,ชุมชนหมู่บ้านรุ่งเจริญ,1030,103003,5,13.81244497,100.5798686,เขตจตุจักร,แขวงจันทรเกษม,ชุมชนเมือง,สถานพยาบาลผู้ป่วยเรื้อรังเดอะซีเนียร์ 3,1727.416900344708
1967,ชุมชนหมู่บ้านเจริญสุข,1036,103602,5,13.91687908,100.5691192,เขตดอนเมือง,แขวงสีกัน,ชุมชนเมือง,โรงพยาบาลมงกุฎวัฒนะ,2655.9430748923596
329,ชุมชนสวนสมเด็จย่า,1018,101801,5,13.73700923,100.4979728,เขตคลองสาน,แขวงสมเด็จเจ้าพระยา,ชุมชนเมือง,สถานพยาบาลนันอา,685.1077610431558
330,ชุมชนซอยท่าดินแดง 14-16,1018,101802,5,13.73549452,100.5047595,เขตคลองสาน,แขวงคลองสาน,ชุมชนเมือง,สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา,516.9689796187857
133,ชุมชนซอยวัดมหาพฤฒาราม (ซอยแก้วฟ้า),1004,100401,5,13.73401056,100.5168169,เขตบางรัก,แขวงมหาพฤฒาราม,ชุมชนเมือง,โรงพยาบาลสมิติเวชไชน่าทาวน์,620.9899064264653
134,ชุมชนหลังวัดแก้วแจ้มฟ้า (สี่พระยา),1004,100401,5,13.73196416,100.5188565,เขตบางรัก,แขวงมหาพฤฒาราม,ชุมชนเมือง,โรงพยาบาลไอเอ็มเอช สีลม,733.8175043019866
338,ชุมชนหลังโรงภาพยนตร์ไทยราม่า,1018,101804,5,13.7243103,100.4932505,เขตคลองสาน,แขวงคลองต้นไทร,ชุมชนเมือง,สถานพยาบาลนันอา,813.107459714084
772,ชุมชนอยู่เจริญ-วิภาวดี,1036,103605,5,13.94405246,100.6130494,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1251.3343359577043
771,ชุมชนวังทอง,1036,103605,5,13.95303569,100.6146203,เขตดอนเมือง,แขวงสนามบิน,ชุมชนเมือง,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1535.1638623349052
272,ชุมชนวัดจำปา,1019,101905,2,13.77380646,100.4346151,เขตตลิ่งชัน,แขวงบางระมาด,ชุมชนชานเมือง,โรงพยาบาลศรีสวรรค์ ราชพฤกษ์,2164.7893179256926
273,ชุมชนหมู่บ้านพัฒนา หมู่ 4 บางระมาด,1019,101905,2,13.77111878,100.4273387,เขตตลิ่งชัน,แขวงบางระมาด,ชุมชนชานเมือง,โรงพยาบาลศรีสวรรค์ ราชพฤกษ์,2922.5765794393383
275,"ชุมชนหมู่บ้านพัฒนาวัดกาญจนสิงหาสน์ 18,19",1019,101905,2,13.75804818,100.4473551,เขตตลิ่งชัน,แขวงบางระมาด,ชุมชนชานเมือง,โรงพยาบาลเฉพาะทางอาชีวเวชศาสตร์อินเตอร์เมด,2089.5138598234475
825,ชุมชนบูรพา 18,1036,103604,5,13.91866195,100.5687796,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง,โรงพยาบาลมงกุฎวัฒนะ,2833.468650259365
824,ชุมชนบูรพา 16,1036,103604,5,13.92134039,100.5711389,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง,โรงพยาบาลทหารอากาศ (สีกัน),2465.5926947389735
875,ชุมชนหมู่บ้านร่มไทรวิลล่า,1027,102701,5,13.82314038,100.6360775,เขตบึงกุ่ม,แขวงคลองกุ่ม,ชุมชนเมือง,โรงพยาบาลนวเวช,1087.2656049116877
877,ชุมชนหมู่บ้านสราญรมย์,1027,102701,5,13.81499568,100.6442988,เขตบึงกุ่ม,แขวงคลองกุ่ม,ชุมชนเมือง,โรงพยาบาลนวเวช,251.72003515730168
246,ชุมชนซอยสุดสาคร,1020,102005,1,13.75647882,100.47421,เขตบางกอกน้อย,แขวงบ้านช่างหล่อ,ชุมชนแออัด,โรงพยาบาลวิชัยเวช แยกไฟฉาย,494.46670748525366
276,ชุมชนหมู่ 6 บางระมาด,1019,101905,2,13.77505368,100.4315522,เขตตลิ่งชัน,แขวงบางระมาด,ชุมชนชานเมือง,โรงพยาบาลศรีสวรรค์ ราชพฤกษ์,2292.5397755187623
277,"ชุมชนหมู่ 1,3 บางพรม",1019,101904,2,13.74462411,100.4566123,เขตตลิ่งชัน,แขวงบางพรม,ชุมชนชานเมือง,โรงพยาบาลเฉพาะทางอาชีวเวชศาสตร์อินเตอร์เมด,1415.8477014167233
279,ชุมชนศาลเจ้าพ่อจุ้ย,1019,101902,2,13.78204521,100.4555399,เขตตลิ่งชัน,แขวงตลิ่งชัน,ชุมชนชานเมือง,โรงพยาบาลศรีสวรรค์ ราชพฤกษ์,1181.5420615788532
